,Question,answer_class,Category_int,Answer
,Могу ли я получить налоговый вычет с вашего обучения?,28,0,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
,"Можете рассказать подробнее о том, как устроена программа обучения?",19,6,"Основной блок, где вы получите базовые навыки, которые нужны, чтобы освоить профессию.
Специализация — интересная вам специальность, на которой вы сфокусируетесь.
Технологическая специализация — узкопрофильный технологический путь в рамках специализации."
,Какие есть форматы обучения?,8,1,"Сейчас в GeekBrains около 40 форматов занятий. Самые популярные: лекции, семинары, практикумы и консультации. Вы можете встретить не все — форматы зависят от программы курса.

Лекции — теоретический блок. Преподаватель рассказывает теорию и показывает примеры. Занятия проходят по расписанию, в формате вебинара или в записи.

Семинары — практический блок. Преподаватель делает упор на прикладные знания, помогает закрепить теорию практикой, отвечает на вопросы студентов. Занятия проходят по расписанию в формате вебинара, но их можно пересмотреть в записи. Советуем заниматься очно, чтобы не копить вопросы.

Практикумы — занятия для ответов на вопросы. Обычно их проводят после сложных тем. Например, на «Разработчике» практикумы есть после курсов «Введение в контроль версий» и «Знакомство с языками программирования». Занятия идут по расписанию в формате вебинара.

Консультации — индивидуальные занятия преподавателя со студентом. Вы можете попросить о консультации, если у вас набралось много вопросов, хотите подтянуть или углубить знания в какой-то теме. Это дополнительная возможность за рамками основной программы. Она оплачивается отдельно."
,При каких условиях я могу получить удостоверение?,3,0,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
,Можно ли получить диплом не сдавая промежуточные и итоговые аттестиции?,1,0,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
,Какие аккредитации или удостоверения я могу ожидать получить по завершении обучения?,0,0,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
,"Что делать, если я не смог прийти на онлайн урок?",9,1,"Если вы не смогли присутствовать на вебинаре, посмотрите его в записи. Видео появится на странице урока в течение суток после его окончания."
,Будут ли каникулы в GB в этом году?,21,7,"Расписание каникул на 2024:

26 декабря 2023 — 8 января 2024
29 апреля — 14 мая
7 августа — 20 августа
30 октября — 12 ноября"
,Как включить уведомления об уроках для моего аккаунта?,17,4,"На странице профиля нажмите «Редактировать профиль» и откройте вкладку «‎Уведомления». Чтобы включить или выключить уведомления, переключите тумблер. Если хотите получать сообщения только о некоторых событиях, отметьте их галочкой."
,Как попасть на урок?,5,1,Обычно уроки проходят на одной из платформ — Zoom или livedigital.
,"Что нужно сделать, чтобы получить документ после обучения?",1,0,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
,Возможно ли получить налоговый вычет за прохождение ваших курсов?,28,0,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
,Как я могу внести информацию о себе в мою учетную запись?,18,4,"На странице профиля нажмите «Редактировать профиль».

Вы можете указать ФИО, дату рождения, интересы, email и телефон, рассказать о себе. Мы советуем также указать город и часовой пояс, это нужно для корректной работы календаря.

Чтобы подтвердить номер телефона, введите его в поле «Телефон для авторизации», нажмите «‎Сохранить», а затем — «‎Подтвердить телефон».

Удалить аккаунт можно на этой же странице."
,Какие варианты сдачи задания доступны?,12,5,"Задание найдёте внутри курса, во вкладке «Практическое задание». Там же сможете сдать работу. Сделать это можно несколькими способами:

- перейти по ссылке и решить задачу, если это задание с автоматической проверкой кода;
- прикрепить файл с выполненным заданием — нажать на зелёную кнопку «Загрузить практическое задание»;
- если делали работу в git или гугл-документе, прикрепить ссылку на него в поле «‎Комментарий к практическому заданию». Не забудьте открыть доступ к документу, чтобы эксперт смог сразу приступить к проверке."
,"Какие действия нужно предпринять, если налоговая отказывается принять договор с вашей школой?
",29,0,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
,Какой формат уроков на моей программе?,8,1,"Сейчас в GeekBrains около 40 форматов занятий. Самые популярные: лекции, семинары, практикумы и консультации. Вы можете встретить не все — форматы зависят от программы курса.

Лекции — теоретический блок. Преподаватель рассказывает теорию и показывает примеры. Занятия проходят по расписанию, в формате вебинара или в записи.

Семинары — практический блок. Преподаватель делает упор на прикладные знания, помогает закрепить теорию практикой, отвечает на вопросы студентов. Занятия проходят по расписанию в формате вебинара, но их можно пересмотреть в записи. Советуем заниматься очно, чтобы не копить вопросы.

Практикумы — занятия для ответов на вопросы. Обычно их проводят после сложных тем. Например, на «Разработчике» практикумы есть после курсов «Введение в контроль версий» и «Знакомство с языками программирования». Занятия идут по расписанию в формате вебинара.

Консультации — индивидуальные занятия преподавателя со студентом. Вы можете попросить о консультации, если у вас набралось много вопросов, хотите подтянуть или углубить знания в какой-то теме. Это дополнительная возможность за рамками основной программы. Она оплачивается отдельно."
,"Могу ли я получить диплом об окончании обучения, если я выполнил все условия, указанные выше?",2,9,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
,"Могу ли я получить удостоверение о повышении квалификации, если я отвечаю всем вышеперечисленным требованиям?",3,7,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
,"Могу ли я получить диплом или удостоверение бесплатно, если я закажу его через Почту России?",4,9,Диплом или удостоверение отправим бесплатно Почтой России.
,"""Какой порядок прохождения курсов мне следует соблюдать и как узнать расписание для них?""",6,0,"Курсы проходят в порядке, указанном в разделе «Моё обучение». Расписание для них будет появляться постепенно."
,Какой формат обучения предлагает GeekBrains?,7,1,"Мы используем разные форматы обучения. Вас ждут лекции и практикумы, групповые занятия и индивидуальные консультации, вебинары и записанные уроки, интервью с предпринимателями и учёными. В процессе обучения вы столкнётесь с несколькими видами курсов:

Видеокурсы с предзаписанными видео, которые вы можете посмотреть в любое время. Чаще всего это подготовительные и вводные курсы, а также курсы от нашей команды. Например: «‎Курс компьютерной грамотности», «Центр карьеры GeekBrains: как мы помогаем студентам в поиске работы» и «‎Итоговые документы об обучении — старт учёбы».
В таких курсах нет домашних заданий, за которые вы получите оценку, но иногда есть задания для самопроверки и закрепления материала.

Вебинарные курсы с онлайн-уроками по расписанию. Если вы не смогли прийти на вебинар, сможете посмотреть его в записи. После урока нужно выполнить домашнее задание, чтобы закрепить материал. Преподаватель или ревьюер проверит работу и поставит за неё оценку. Иногда на таких курсах есть наставник, которому можно задать вопрос по программе.

Курсы смешанного формата включают в себя видеоуроки и вебинары, разные практические задания — для оценки и для самопроверки. Как и на вебинарных курсах, работы проверяет преподаватель или ревьюер."
,Какова длительность программы обучения в зависимости от выбранного пакета?,13,9,"Длительность программы зависит от пакета обучения:

Специалист — 6 или 9 месяцев — зависит от технологической специализации, уровень Junior.
Специалист с опытом — 6 месяцев. Опция для тех, у кого уже есть базовые знания или опыт в IT.
Инженер — 12 месяцев, уровень Junior.
Мастер — 24 месяца, уровень Middle.
Про — 36 месяцев, уровень Middle+."
,"Какой курс мне выбрать, чтобы подготовиться к основной программе?",15,1,"Подготовка — курсы, которые помогут подготовиться к основной программе;

Активные — курсы, которые идут сейчас;

Четверти — основные курсы программы. Расписание для них появится автоматически, если вы записаны в группу."
,"""Я могу пройти дополнительные курсы, которые не входят в основную программу обучения?""",16,4,"Здесь находятся курсы, которые не входят в программу обучения. Например, «GeekSpeak» — тематические онлайн-лекции от экспертов. Вы можете проходить их по желанию."
,Как мне изменить информацию о себе на странице профиля?,18,0,"На странице профиля нажмите «Редактировать профиль».

Вы можете указать ФИО, дату рождения, интересы, email и телефон, рассказать о себе. Мы советуем также указать город и часовой пояс, это нужно для корректной работы календаря.

Чтобы подтвердить номер телефона, введите его в поле «Телефон для авторизации», нажмите «‎Сохранить», а затем — «‎Подтвердить телефон».

Удалить аккаунт можно на этой же странице."
,"""Какой основной блок поможет мне получить базовые навыки для освоения профессии?""",19,4,"Основной блок, где вы получите базовые навыки, которые нужны, чтобы освоить профессию.
Специализация — интересная вам специальность, на которой вы сфокусируетесь.
Технологическая специализация — узкопрофильный технологический путь в рамках специализации."
,"""Какой основной блок поможет мне получить базовые навыки для освоения профессии?""",19,4,"Основной блок, где вы получите базовые навыки, которые нужны, чтобы освоить профессию.
Специализация — интересная вам специальность, на которой вы сфокусируетесь.
Технологическая специализация — узкопрофильный технологический путь в рамках специализации."
,"""Я хочу пройти курс профессиональной переподготовки, чтобы освоить новые навыки в области, которая мне интересна. Какие программы мне доступны?""",20,0,"Программы профессиональной переподготовки направлены на освоение знаний и навыков в новой для вас сфере. Например, если вы занимаетесь менеджментом, но хотите научиться программировать.

Программы повышения квалификации направлены на совершенствование и получение новых навыков в сфере, в которой у вас уже есть квалификация. Например, если вы копирайтер, но хотите стать редактором."
,"""Когда будут мои каникулы в 2024 году?""",21,4,"Расписание каникул на 2024:

26 декабря 2023 — 8 января 2024
29 апреля — 14 мая
7 августа — 20 августа
30 октября — 12 ноября"
,"""Какое расписание вебинаров мне следует ожидать?""",22,4,"Расписание вебинаров зависит от группы, в которой вы учитесь. Проверить расписание можно в календаре на gb.ru — там отобразятся все уже запланированные уроки."
,"Какая операционная система мне нужна для прохождения специализации ""Программист"" на Windows?",23,6,"Специализация «Программист»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 2 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 20 Гб и больше
macOS

ОС macOS 10.13 или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 1 Гб видеопамяти
Свободное место на жёстком диске 10 Гб и больше"
,"Какая операционная система мне нужна для прохождения специализации ""Тестировщик""?",24,8,"Специализация «Тестировщик»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 4 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 30 Гб и больше
macOS

ОС macOS Catalina (версия 10.15) или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 2 Гб видеопамяти
Свободное место на жёстком диске 40 Гб и больше"
,"""Я хочу узнать, как вы помогаете своим выпускникам найти работу? Где можно узнать об этом подробнее?""",25,1,"Мы помогаем нашим выпускникам найти работу. Как мы это делаем, можно узнать здесь - https://gb.ru/employmentassistance"
,"После завершения обучения по основной программе, могу ли я обратиться за помощью в поиске работы в центр карьеры?",26,9,"Вы можете обратиться за помощью в поиске работы в центр карьеры после завершения обучения по основной программе.

После сдачи итоговой аттестации вам откроется доступ к курсу «Подготовка к поиску работы».

Это практический курс, на котором вы пройдете все основные этапы подготовки к поиску работы. Уроки курса в записи, вы можете проходить их в своем темпе.

После этого вы можете обратиться за помощью в поиске работы в центр карьеры и продолжить работать с карьерным консультантом. На последнем уроке курса будет ссылка на форму, которую необходимо заполнить для обращения в центр карьеры."
,"Какие шаги я должен предпринять, чтобы составить карьерный план и успешно искать работу?",27,6,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
,Могу ли я получить налоговый вычет за оплаченное обучение?,28,1,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
,Я получил отказ в получении налогового вычета по предоставленным документам. Что мне делать дальше?,29,1,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
,"""Какой документ я получу после успешного прохождения выпускных испытаний?""",0,3,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
,Как мне получить итоговый документ?,1,4,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
,"Могу ли я получить диплом об окончании обучения, если я выполнил все условия, указанные выше?",2,9,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
,"Могу ли я получить удостоверение о повышении квалификации, если я отвечаю всем вышеперечисленным требованиям?",3,7,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
,"Могу ли я получить диплом или удостоверение бесплатно, если я закажу его через Почту России?",4,9,Диплом или удостоверение отправим бесплатно Почтой России.
,"""Какие платформы используются для проведения уроков?""",5,2,Обычно уроки проходят на одной из платформ — Zoom или livedigital.
,"""Какой порядок прохождения курсов мне следует соблюдать и как узнать расписание для них?""",6,0,"Курсы проходят в порядке, указанном в разделе «Моё обучение». Расписание для них будет появляться постепенно."
,Какой формат обучения предлагает GeekBrains?,7,1,"Мы используем разные форматы обучения. Вас ждут лекции и практикумы, групповые занятия и индивидуальные консультации, вебинары и записанные уроки, интервью с предпринимателями и учёными. В процессе обучения вы столкнётесь с несколькими видами курсов:

Видеокурсы с предзаписанными видео, которые вы можете посмотреть в любое время. Чаще всего это подготовительные и вводные курсы, а также курсы от нашей команды. Например: «‎Курс компьютерной грамотности», «Центр карьеры GeekBrains: как мы помогаем студентам в поиске работы» и «‎Итоговые документы об обучении — старт учёбы».
В таких курсах нет домашних заданий, за которые вы получите оценку, но иногда есть задания для самопроверки и закрепления материала.

Вебинарные курсы с онлайн-уроками по расписанию. Если вы не смогли прийти на вебинар, сможете посмотреть его в записи. После урока нужно выполнить домашнее задание, чтобы закрепить материал. Преподаватель или ревьюер проверит работу и поставит за неё оценку. Иногда на таких курсах есть наставник, которому можно задать вопрос по программе.

Курсы смешанного формата включают в себя видеоуроки и вебинары, разные практические задания — для оценки и для самопроверки. Как и на вебинарных курсах, работы проверяет преподаватель или ревьюер."
,Какой формат занятий я могу выбрать на GeekBrains?,8,7,"Сейчас в GeekBrains около 40 форматов занятий. Самые популярные: лекции, семинары, практикумы и консультации. Вы можете встретить не все — форматы зависят от программы курса.

Лекции — теоретический блок. Преподаватель рассказывает теорию и показывает примеры. Занятия проходят по расписанию, в формате вебинара или в записи.

Семинары — практический блок. Преподаватель делает упор на прикладные знания, помогает закрепить теорию практикой, отвечает на вопросы студентов. Занятия проходят по расписанию в формате вебинара, но их можно пересмотреть в записи. Советуем заниматься очно, чтобы не копить вопросы.

Практикумы — занятия для ответов на вопросы. Обычно их проводят после сложных тем. Например, на «Разработчике» практикумы есть после курсов «Введение в контроль версий» и «Знакомство с языками программирования». Занятия идут по расписанию в формате вебинара.

Консультации — индивидуальные занятия преподавателя со студентом. Вы можете попросить о консультации, если у вас набралось много вопросов, хотите подтянуть или углубить знания в какой-то теме. Это дополнительная возможность за рамками основной программы. Она оплачивается отдельно."
,"""Что мне делать, если я не смог посетить вебинар?""",9,0,"Если вы не смогли присутствовать на вебинаре, посмотрите его в записи. Видео появится на странице урока в течение суток после его окончания."
